letter,frequency,bytwo
A,0.08167,0.040835
B,0.01492,0.00746
C,0.02782,0.01391
D,0.04253,0.021265
E,0.12702,0.06351
F,0.02288,0.01144
G,0.02015,0.010075
H,0.06094,0.03047
I,0.06966,0.03483
J,0.00153,0.000765
K,0.00772,0.00386
L,0.04025,0.020125
M,0.02406,0.01203
N,0.06749,0.033745
O,0.07507,0.037535
P,0.01929,0.009645
Q,0.00095,0.000475
R,0.05987,0.029935
S,0.06327,0.031635
T,0.09056,0.04528
U,0.02758,0.01379
V,0.00978,0.00489
W,0.0236,0.0118
X,0.0015,0.00075
Y,0.01974,0.00987
Z,0.00074,0.00037
